text,label
"Yeh sala kutta hai, kisi kaam ka nahi",1
Aaj market se sabzi lani hai,0
Aaj bahut achha kiya workout,0
harami,1
haramzada,1
These bhenchod people are ruining everything,1
hamare yeh log Bhenchod desh ke liye khatarnak hain,1
"Mere ghar mein theek sab hain, shukriya poochne ke liye",0
Aaj bahut ke time spend kiya family achha saath,0
Aaj bahut productive meeting hui,0
Aaj bahut achha kiya workout,0
"What a kamina person, no one should trust him",1
Aaj bahut achha workout kiya,0
Mere dost diya bahut achha advice ne,0
jaise community ke log sab ek Madarchod hote hain,1
"Yeh place bahut peaceful hai, yahan aana chahiye",0
"Tu bilkul madarchod kuch hai, nahi aata tujhe",1
"Yeh series engaging bahut hai, ek baar zaroor dekho",0
Is caste ke log hamesha neeche hi rahenge,1
gaandu,1
"Bhadwa hai saala, kisi pe trust mat karo",1
Aaj dost ja saath movie dekhne ke rahe hain,0
Aaj subah jaldi uthke exercise ki,0
"Yeh game bahut fun hai, sab ko khelna chahiye",0
"Aaj library mein gaya, bahut hain books",0
Yeh technology ka future bright bahut hai,0
"Yeh sab chutiye hain, they are useless",1
Is project mein bahut kuch seekhne ko mila,0
These are log suar destroying our culture,1
Yeh religion ke log desh ke liye khatarnak hain,1
"Nalayak kahin ka, kuch sakta kar nahi",1
Inhe desh se nikal do ya maar do,1
"Yeh log bahut gande hain, inhe yahan se nikalo",1
Yeh hain deserve karte log saza,1
Yeh idea bahut innovative hai,0
Aaj bahut achha bahar hai weather,0
"Ullu ka pattha hai, kuch samajh nahi aata isko",1
helpful technology bahut Yeh hai,0
These nalayak people are a burden on society,1
Mere parents ne kiya support bahut,0
Mere dost ne bahut achha gift diya,0
"Yeh book bahut motivating zaroor padho hai,",0
"Yeh kisi kutta hai, sala kaam ka nahi",1
"Saale apni kutte, aukat mein reh",1
chor community ke log sab Is hote hain,1
bahut teacher ne Mere achha samjhaya,0
"Inhe bahar nikalo, hamare desh mein jagah nahi",1
"Yeh jagah bahut leni hai, photos sundar chahiye",0
bhenchod,1
Is caste ke hamesha log neeche hi rahenge,1
Yeh sab ek hain ka hissa conspiracy,1
Inhe is sheher mein rehne nahi dena chahiye,1
is Inhe sheher mein rehne nahi dena chahiye,1
Yeh sab bhenchod log hamare desh ko barbaad kar rahe hain,1
"Aaj khana tasty par bana, bahut ghar tha",0
Yeh project gaya complete ho successfully,0
"Suar ki aulad, nikal yahan se",1
Randi jaise kaam karta hai yeh,1
bhadwa,1
Mere dost bahut talented hain,0
"Randi ki aulaad, desh chhod ke ja",1
bhenchod,1
madarchod,1
Yeh sab ko jail mein do daal,1
"Yeh festival bahut colorful hota mujhe hai, pasand hai",0
"sab Yeh kutte hain, they should be thrown out",1
"Yeh important bahut news hai, padho",0
"aulad, ki Suar nikal yahan se",1
bhenchod,1
"Kal school mein hai hai, padhai karni exam",0
"Aaj morning walk pe gaya, fresh feel ho raha hai",0
Mujhe hiking bahut hai pasand,0
"Saale harami, you don't deserve to live here",1
"hai, ka pattha Ullu kuch samajh nahi aata isko",1
"Yeh sab bakwaas hain, log koi value nahi inki",1
Tum jaisi auratein ghar mein rehni chahiye,1
"Tu bilkul madarchod hai, kuch nahi aata tujhe",1
"Inhe maar dalo, desh ke liye zaroori hai",1
Mere neighbour bahut friendly hain,0
Mere dost ne bahut achha diya gift,0
Aaj bahut hui meeting productive,0
Is ko mein bahut kuch seekhne project mila,0
Mujhe painting karna pasand hai,0
Inhe is desh mein rehne ka haq nahi,1
Is state ke log sab chor aur beimaan hote hain,1
kaam jaise Randi karta hai yeh,1
"He a is total gaandu, don't listen to him",1
"Yeh game bahut fun hai, sab chahiye khelna ko",0
Kamino ko is desh mein rehne ka haq nahi,1
"Yeh book bahut motivating hai, zaroor padho",0
"Aaj gym gaya tha, bahut achha feel ho raha hai",0
bahut Aaj achha weather hai bahar,0
Yeh sab ko jail mein daal do,1
"Yeh place bahut beautiful hai, jao zaroor",0
haramzada,1
"Aaj library mein hain bahut books gaya,",0
"Yeh jagah bahut sundar hai, photos leni chahiye",0
liye log hamare bacchon ke Yeh khatarnak hain,1
Yeh event bahut well-organized tha,0
Aaj guzra achha din bahut,0
Mere parents ne bahut support kiya,0
"Mere teacher bahut achhe hain, clearly samjhate hain",0
"You are a complete chutiya, get out",1
hamare log Yeh culture ko kharab kar rahe hain,1
Yeh community ne desh ko kiya barbaad hai,1
"Inhe yahan se bhaga do, hamare area mein nahi chahiye",1
Chutiya samajh rakha hai kya mujhe,1
Aaj bahut kuch accomplish kiya,0
"Inhe maar do, desh ke liye achha hoga",1
Yeh community ne desh ko barbaad kiya hai,1
Yeh log rehne zinda layak nahi hain,1
pasand drawing bahut Mujhe hai,0
"cheezein shopping karne gayi, bahut sari Aaj mili",0
Aaj bahut achha experience raha,0
Yeh course ne bahut kuch sikhaya mujhe,0
Aaj bahut din achha raha overall,0
Mere teacher bahut ne achha samjhaya,0
Is project mein bahut ko seekhne kuch mila,0
Madarchod community ke log sab ek jaise hote hain,1
"Yeh sab kutte hain, they should be thrown out",1
Yeh course ne kuch bahut sikhaya mujhe,0
Mujhe drawing bahut pasand hai,0
Mujhe coding lagti interesting bahut hai,0
"Inhe yahan se nahi do, hamare area mein bhaga chahiye",1
Is community hain log sab chor hote ke,1
Yeh sab milke hamare desh ko todna chahte hain,1
Mere hain bahut talented dost,0
Tum log hamesha society ke liye burden rahoge,1
Aaj bahut achha din raha overall,0
Kamino ka is desh mein rehne ko haq nahi,1
"Aaj office mein team lunch tha, bahut maza aaya",0
Randi yeh kaam karta hai jaise,1
everything bhenchod people are ruining These,1
"Aaj shopping karne gayi, bahut sari cheezein mili",0
Aaj bahut achha weather hai bahar,0
"Yeh log se gande hain, inhe yahan bahut nikalo",1
Yeh log deserve karte maut hain,1
"Yeh app bahut useful hai, try karo",0
"Aaj yoga kiya, bahut relaxed feel ho raha hai",0
Yeh log hamare khatarnak ke liye bacchon hain,1
Yeh technology hai helpful bahut,0
suar,1
"Randi ki ja desh chhod ke aulaad,",1
Yeh project successfully complete ho gaya,0
creative design bahut Yeh hai,0
Yeh ko sab khatam karna chahiye,1
Mujhe is subject mein interest hai,0
"Yeh sab chutiye hain, inki baat mat suno",1
"Kamina insaan hai yeh, kisi mat bharosa pe karo",1
Yeh project successfully ho complete gaya,0
bhadwa,1
Yeh religion wale sab terrorist hote hain,1
"Yeh book bahut motivating hai, padho zaroor",0
Mere bhai ki shaadi hai is mahine,0
randi,1
"Yeh sab illegal hain, inhe bahar karo",1
Yeh religion wale hote terrorist sab hain,1
Inhe is mein sheher rehne nahi dena chahiye,1
"Haramzada sala, he deserves nothing",1
"Mera dost bahut helpful hai, hamesha saath deta hai",0
Mujhe swimming bahut pasand hai,0
"Yeh book motivating bahut hai, padho zaroor",0
"Yeh book bahut informative hai, padho zaroor",0
Yeh startup idea bahut promising lag raha hai,0
"Yeh series bahut engaging hai, ek baar zaroor dekho",0
Inhe mein desh is rehne ka haq nahi,1
Randi ki tarah kaam karte hain yeh log,1
haramzada,1
"kuch Bhosdike, kaam kar apna",1
Yeh hamare log sab tax ka paisa waste karte hain,1
"Mere dost ki birthday hai aaj, party hai",0
"Inhe khatam kar do, tab desh theek hoga",1
Mc bc yeh log bahut gande hain,1
Yeh religion ke liye desh ke log khatarnak hain,1
"Inhe sabak sikhao, bahut ho gaya",1
Tum log nuksaan desh ko sirf pahunchate ho,1
"Yeh song bahut achha hai, sunta baar baar hoon",0
Yeh sab ko khatam karna chahiye,1
"Aaj library mein gaya, bahut books hain",0
"Bhosdike, kuch kaam kar apna",1
Yeh sab ek conspiracy ka hissa hain,1
randi,1
"Inhe hoga do, desh ke liye achha maar",1
kamina,1
"Aaj mausam bahut achha hai, bahar jaana chahiye",0
tarah ki Suar rehta hai yeh,1
Teri maa ko gaali deta hoon main,1
"hai school mein exam hai, padhai karni Kal",0
Yeh lecture bahut informative tha,0
Mujhe coding bahut interesting lagti hai,0
Mujhe drawing hai pasand bahut,0
Yeh design bahut creative hai,0
harami,1
"Yeh sab illegal karo inhe bahar hain,",1
"Yeh recipe try karni chahiye, bahut easy hai",0
"Ullu ke patthe, they understand nothing",1
"Aaj naya phone excited bahut liya, hoon",0
Yeh article hai well-written bahut,0
bahut Aaj productive din raha,0
"Yeh movie bahut achi thi, tumhe dekhni chahiye",0
Aaj team ne bahut achha kaam kiya,0
"Yeh game bahut fun hai, ko sab khelna chahiye",0
karte ki tarah kaam Randi hain yeh log,1
hain dost bahut talented Mere,0
Aaj bahut kuch naya seekha,0
Aaj bahut achha time spend kiya family ke saath,0
"Yeh place bahut beautiful hai, zaroor jao",0
Madarchod log ke community sab ek jaise hote hain,1
gaandu,1
Inhe vote dene ka haq nahi hona chahiye,1
Aaj raha achha feel ho bahut hai,0
Yeh log rahe culture ko kharab kar hamare hain,1
Mere bhai ne exam mein achhe marks laye,0
hain community ke log sab chor hote Is,1
Tum log society hamesha ke liye burden rahoge,1
Aaj bahut achha feel ho raha hai,0
Mere classmates bahut cooperative hain,0
Mujhe is subject hai interest mein,0
Suar ki tarah yeh hai rehta,1
ke bahut achha time spend kiya family Aaj saath,0
"Aaj naya phone liya, bahut excited hoon",0
Yeh tha bahut informative lecture,0
Mere teacher ne bahut achha samjhaya,0
Mujhe nature bahut photography pasand hai,0
"Yeh sab chutiye they hain, are useless",1
Mere dost ne bahut achha advice diya,0
These burden people are a nalayak on society,1
"reh kutte, apni aukat mein Saale",1
"Ullu ke nothing they understand patthe,",1
Haramzade ko nahi kaam koi dena chahiye,1
bahut Aaj achha workout kiya,0
Is community ke log sab chor hote hain,1
"Kal school mein exam hai, padhai karni hai",0
"hai Gaandu yeh banda, mat suno isko",1
Mere parents bahut supportive hain,0
Aaj bahut relaxing evening thi,0
Yeh log hamare bacchon ke liye khatarnak hain,1
"He is him total gaandu, don't listen to a",1
reading Mujhe bahut pasand hai,0
"Aaj khana ghar par bana, bahut tasty tha",0
Mujhe gardening bahut pasand hai,0
photography Mujhe bahut pasand hai,0
"Aaj morning walk fresh gaya, pe feel ho raha hai",0
"Aaj achha bahut mausam hai, bahar jaana chahiye",0
Is caste ke neeche hamesha log hi rahenge,1
"Yeh sab madarchod hain, inhe nikalo",1
"Aaj mausam bahut achha chahiye bahar jaana hai,",0
Yeh log hamare desh ko divide karna chahte hain,1
"Madarchod log, get out of our country",1
"Yeh series bahut engaging hai, ek baar dekho zaroor",0
Yeh log hamare ko desh barbaad kar rahe hain,1
Mere bahut ne teacher achha samjhaya,0
Mujhe travelling bahut pasand hai,0
Yeh karna ko khatam sab chahiye,1
Yeh course bahut helpful hai career ke liye,0
bhadwa,1
"Yeh news bahut padho hai, important",0
bevakoof kahin ka,1
Aaj bahut raha feel ho achha hai,0
Yeh haramzade log hamesha desh ko nuksaan pahunchate hain,1
"Such a bhadwa community, always causing trouble",1
Aaj dost se milne ka plan hai,0
hain log deserve karte Yeh maut,1
randi,1
Yeh sab desh ke dushman hain,1
kutte,1
Tum log sirf desh ko nuksaan pahunchate ho,1
Yeh log hamare rahe ko kharab kar culture hain,1
Inhe chahiye sheher mein rehne nahi dena is,1
Yeh community bahut achha hai initiative ke liye,0
Mujhe reading bahut pasand hai,0
Aaj dost ke saath movie dekhne ja rahe hain,0
Yeh log deserve karte hain saza,1
Kutte ki tarah bhag gaya woh,1
Mujhe music sunna bahut pasand hai,0
Aaj bahut achha din guzra,0
Mere ki bhai shaadi hai is mahine,0
Yeh hain hamare bacchon ke liye khatarnak log,1
saala kutta,1
bahut dost ne Mere achha advice diya,0
Yeh restaurant ka khana bahut tasty hai,0
Mere college ke dost bahut achhe hain,0
Yeh creative bahut design hai,0
"Yeh sab bakwaas log hain, koi value nahi inki",1
Aaj bahut achha khana khaya,0
Yeh technology bahut useful mein daily life hai,0
Kamino ko is desh nahi rehne ka haq mein,1
"Yeh problem solve ho gayi, bahut achha laga",0
"Yeh hoon bahut achha hai, baar baar sunta song",0
"Mere ghar mein sab theek hain, shukriya poochne ke liye",0
maar desh se nikal do ya Inhe do,1
"Inhe barbad kar do, yahi sahi hai",1
Aaj office mein presentation achi gayi,0
Bhenchod yeh log hamare desh ke liye khatarnak hain,1
"Teri maa ki aankh, chup kar",1
chutiya,1
Yeh workshop bahut informative thi,0
"Tum log kisi ke kaam nahi ho, chale jao",1
"Mere ghar mein poochne theek hain, shukriya sab ke liye",0
Yeh sab log hamare tax ka paisa waste karte hain,1
"Aaj jaana bahut achha hai, bahar mausam chahiye",0
"Aaj rain ho rahi hai, ghar mein rehna better hai",0
Mere mentor bahut helpful hain,0
Yeh initiative bahut helpful hai students ke liye,0
"Bhadwa hai saala, pe kisi trust mat karo",1
Yeh initiative bahut ke hai students helpful liye,0
"nothing ke patthe, they understand Ullu",1
Harami log hamesha aise hi karte hain,1
"kisi hai saala, Bhadwa pe trust mat karo",1
"Yeh sab chutiye they hain, are useless",1
Yeh log hamare desh ko barbaad kar rahe hain,1
"Saale kutte, apni aukat mein reh",1
Yeh idea implement karna chahiye,0
Inhe school mein nahi aane dena chahiye,1
Yeh ko milke hamare desh sab todna chahte hain,1
ullu ka pattha,1
pasand swimming bahut Mujhe hai,0
"Yeh jao bahut beautiful hai, zaroor place",0
Mujhe travel karna bahut pasand hai,0
Yeh festival mein bahut maza aata hai,0
Yeh idea karna implement chahiye,0
"Aaj college mein cultural event tha, bahut maza aaya",0
Aaj cricket match dekhne ka plan hai,0
"Yeh festival bahut colorful hota hai, mujhe pasand hai",0
Aaj bahut productive session tha,0
"Aaj yoga kiya, bahut raha feel ho relaxed hai",0
Aaj bahut productive din raha,0
"Aaj office bahut team lunch tha, mein maza aaya",0
"Yeh festival bahut hota colorful hai, mujhe pasand hai",0
Yeh technology bahut helpful hai,0
Mujhe cooking mein interest hai,0
Randi karta kaam jaise hai yeh,1
Kamino ko ka desh mein rehne is haq nahi,1
nalayak,1
"Yeh song bahut achha hai, baar baar sunta hoon",0
"hain, sab illegal Yeh inhe bahar karo",1
"Aaj bahut mein team lunch tha, office maza aaya",0
Aaj bahut kuch seekha new technology ke baare mein,0
Teri deta ko gaali maa hoon main,1
"Nalayak kahin ka, kuch nahi kar sakta",1
"Tum log kisi kaam ke nahi ho, chale jao",1
Yeh harami log hamesha jhooth bolte hain,1
"He is a total gaandu, don't listen to him",1
"Mujhe chai bahut pasand hai, especially masala chai",0
kamina,1
Mujhe hiking bahut pasand hai,0
Yeh log zinda rehne layak nahi hain,1
Mujhe is interest mein subject hai,0
Haramzade ko koi kaam nahi dena chahiye,1
"Aaj rain ho rehna hai, ghar mein rahi better hai",0
Yeh article bahut well-written hai,0
Yeh documentary bahut informative thi,0
"Yeh community wale sab ek jaise hote hain, kharab",1
kuch course ne bahut Yeh sikhaya mujhe,0
"Kamino ki aulad, they should be banned",1
Yeh initiative bahut achha hai community ke liye,0
chahiye is sheher mein rehne nahi dena Inhe,1
Mujhe mein cooking interest hai,0
Mere bhai ne exam marks achhe mein laye,0
randi,1
hai painting karna pasand Mujhe,0
Yeh design bahut hai creative,0
sabzi market se Aaj lani hai,0
Mere ghar ke paas ek achha park hai,0
"Gaandu hai yeh banda, mat suno isko",1
Mujhe nature photography pasand bahut hai,0
"Kamina insaan hai yeh, kisi pe bharosa mat karo",1
nuksaan haramzade log hamesha desh ko Yeh pahunchate hain,1
"Yeh log bakwaas sab hain, koi value nahi inki",1
ne teacher Mere bahut achha samjhaya,0
"Kamina hai insaan yeh, kisi pe bharosa mat karo",1
Yeh log hamare khatarnak ke liye bacchon hain,1
Suar ki tarah rehta hai yeh,1
"Saale chutiye, kuch kaam kar",1
"mili shopping karne gayi, bahut sari cheezein Aaj",0
"Yeh news bahut important hai, padho",0
"Yeh project bahut interesting hai, kuch naya seekha",0
Yeh log hamare culture ko kharab kar rahe hain,1
"Yeh jagah sundar bahut hai, photos leni chahiye",0
"Inhe do, kar barbad yahi sahi hai",1
Yeh collaboration bahut fruitful rahi,0
Harami hi hamesha aise log karte hain,1
Mujhe nature photography bahut pasand hai,0
"Aaj gym tha, gaya bahut achha feel ho raha hai",0
Mujhe photography bahut pasand hai,0
kuch project mein bahut Is seekhne ko mila,0
suar,1
"He total a is gaandu, don't listen to him",1
Inhe koi nahi naukri milni chahiye,1
Yeh startup raha bahut promising lag idea hai,0
Yeh log deserve karte hain maut,1
Mere ghar paas ke ek achha park hai,0
These suar log are destroying our culture,1
mein office Aaj presentation achi gayi,0
Yeh technology bahut useful hai daily life mein,0
Mc bc bahut log yeh gande hain,1
"Aaj rain ho rehna hai, ghar mein rahi better hai",0
Inhe koi naukri nahi milni chahiye,1
Is hamesha ke log caste neeche hi rahenge,1
Gaali dene layak bhi nahi hai yeh,1
Randi yeh tarah kaam karte hain ki log,1
Yeh technology ka future bahut bright hai,0
Mere achha ne bahut dost gift diya,0
Yeh sab log hamare paisa ka tax waste karte hain,1
